state,county,urban_share,population_2010,avg_poverty_rate,avg_median_family_income,low_income_tracts_count,lila_1_10_count,lila_half_10_count,lila_1_20_count,total_housing_units_no_vehicle,total_snap_households,tract_count,geo_id,county_name,total_population,male_population,female_population,median_age,poverty_rate,median_income,bphigh,csmoking,diabetes,lpa,obesity,pct_diabetes_adults19,pct_obese_adults22,povrate21
california,glenn,0.5,28122,18.0,58636.0,4,2,3,1,484.0,1082.0,6,0500000US06021,"Glenn County, California",28623,14673,13950,35.9,12.4,70487.0,31.1,14.05,11.85,27.65,32.25,7.6,28.1,15.5
california,humboldt,0.5333333333333333,134623,19.923333333333336,60769.16666666666,19,7,14,5,4133.0,6681.0,30,0500000US06023,"Humboldt County, California",135418,67007,68411,39.6,18.9,61135.0,31.4,14.6,10.7,23.45,31.700000000000003,7.2,28.1,19.4
california,imperial,0.6451612903225806,174528,26.58709677419355,54185.77419354839,25,9,18,9,3242.0,9452.0,31,0500000US06025,"Imperial County, California",179319,92096,87223,33.0,19.6,56393.0,32.85,13.1,14.8,35.150000000000006,34.95,9.3,28.1,17.3
california,inyo,0.3333333333333333,18546,9.216666666666669,74352.83333333333,1,1,1,1,552.0,689.0,6,0500000US06027,"Inyo County, California",18803,9565,9238,45.6,10.5,72432.0,31.450000000000003,12.2,10.9,22.0,28.35,7.7,28.1,12.8
california,kern,0.8675496688741722,839631,22.325165562913902,59991.88079470199,100,27,86,22,18281.0,45497.0,151,0500000US06029,"Kern County, California",910433,463861,446572,32.4,19.0,67660.0,32.1,14.65,13.3,32.0,36.1,10.5,28.1,18.5
california,kings,0.8518518518518519,152982,19.72222222222222,58984.96296296296,18,5,15,5,2730.0,7223.0,27,0500000US06031,"Kings County, California",152830,84389,68441,32.3,16.8,68750.0,31.2,14.9,12.5,30.7,34.8,10.0,28.1,17.7
california,lake,0.3333333333333333,64665,22.65333333333333,54643.53333333333,10,1,4,1,1781.0,2973.0,15,0500000US06033,"Lake County, California",68139,34198,33941,44.2,16.7,58738.0,35.8,15.4,12.4,26.85,32.75,8.4,28.1,16.5
california,lassen,0.2222222222222222,34895,16.188888888888886,64826.444444444445,5,3,3,2,560.0,783.0,9,0500000US06035,"Lassen County, California",31177,19370,11807,37.8,13.7,64395.0,32.6,16.05,11.05,25.85,34.25,7.9,28.1,18.8
california,los angeles,0.982433590402742,9818605,16.242245072836333,79803.30162810626,1137,61,545,61,298364.0,290880.0,2334,0500000US06037,"Los Angeles County, California",9848406,4879286,4969120,37.9,13.6,87760.0,29.3,11.25,12.1,25.95,26.45,9.0,28.1,14.1
california,madera,0.4347826086956521,150865,20.67391304347826,58921.47826086957,14,3,7,3,2675.0,7894.0,23,0500000US06039,"Madera County, California",158790,77958,80832,34.6,19.9,75496.0,32.5,14.85,13.15,31.65,36.6,9.1,28.1,20.4
california,marin,0.8727272727272727,252409,7.3,150601.41818181818,5,0,1,0,5130.0,3129.0,55,0500000US06041,"Marin County, California",258765,127100,131665,47.3,7.8,142785.0,28.9,8.3,8.85,17.4,21.3,6.1,28.1,7.8
california,mariposa,0.0,18251,14.133333333333333,67173.0,4,0,0,0,248.0,819.0,6,0500000US06043,"Mariposa County, California",17060,8788,8272,51.6,13.9,65378.0,34.0,12.95,11.45,23.3,30.7,7.0,28.1,14.1
california,mendocino,0.4,87841,18.485,62771.1,13,6,10,3,2138.0,3905.0,20,0500000US06045,"Mendocino County, California",90709,44983,45726,43.9,15.2,64688.0,34.75,14.5,12.05,25.1,29.4,7.5,28.1,16.1
california,merced,0.7346938775510204,255793,23.540816326530614,54314.61224489796,41,13,25,12,5801.0,15683.0,49,0500000US06047,"Merced County, California",285597,144886,140711,31.8,18.4,65044.0,31.5,14.3,13.15,33.45,34.05,8.9,28.1,21.9
california,modoc,0.25,9686,14.95,56221.25,3,2,3,2,146.0,346.0,4,0500000US06049,"Modoc County, California",8646,4246,4400,49.0,20.3,56648.0,36.1,15.2,12.6,26.05,32.099999999999994,7.4,28.1,19.9
california,mono,0.3333333333333333,14202,12.233333333333334,77544.66666666667,0,0,0,0,127.0,203.0,3,0500000US06051,"Mono County, California",13169,7360,5809,40.3,11.0,86953.0,29.65,11.65,9.7,21.15,31.05,7.2,28.1,9.8
california,monterey,0.8279569892473119,415057,12.873118279569892,79669.44086021505,36,3,17,2,5984.0,8959.0,93,0500000US06053,"Monterey County, California",435834,221676,214158,35.3,12.6,94486.0,31.15,12.0,12.05,26.85,31.25,8.4,28.1,12.1
california,napa,0.775,136484,9.0925,101276.175,8,0,6,0,2454.0,2225.0,40,0500000US06055,"Napa County, California",136070,68093,67977,42.8,8.4,108970.0,30.35,10.5,10.35,22.85,28.05,8.5,28.1,9.0
california,nevada,0.5,98764,11.62,84356.6,7,6,6,6,1689.0,2542.0,20,0500000US06057,"Nevada County, California",102452,50594,51858,50.3,10.6,84905.0,32.8,11.25,9.75,19.3,27.55,6.0,28.1,11.8
california,orange,0.9948453608247424,3010232,10.814604810996563,102821.18041237112,135,6,74,6,45380.0,66052.0,582,0500000US06059,"Orange County, California",3164063,1568200,1595863,39.1,9.5,113702.0,27.75,9.25,10.8,23.75,23.9,9.1,28.1,9.9
